year;category;nominee
2019;Song Of The Year;Bad Guy
2019;Song Of The Year;Always Remember Us This Way
2019;Song Of The Year;Bring My Flowers Now
2019;Song Of The Year;Hard Place
2019;Song Of The Year;Lover
2019;Song Of The Year;Norman F***ing Rockwell
2019;Song Of The Year;Someone You Loved
2019;Song Of The Year;Truth Hurts
2018;Song Of The Year;This Is America
2017;Song Of The Year;That's What I Like
2016;Song Of The Year;Hello
2015;Song Of The Year;Thinking Out Loud
2014;Song Of The Year;Stay With Me (Darkchild Version)
2013;Song Of The Year;Royals
2012;Song Of The Year;We Are Young
2011;Song Of The Year;Rolling In The Deep
2010;Song Of The Year;Need You Now
2009;Song Of The Year;Single Ladies (Put A Ring On It)
2008;Song Of The Year;Viva La Vida
2007;Song Of The Year;Rehab
2006;Song Of The Year;Not Ready To Make Nice
2005;Song Of The Year;Sometimes You Can't Make It On Your Own
2004;Song Of The Year;Daughters
2003;Song Of The Year;Dance With My Father
2002;Song Of The Year;Don't Know Why
2001;Song Of The Year;Fallin'
2000;Song Of The Year;Beautiful Day
1999;Song Of The Year;Smooth
1998;Song Of The Year;My Heart Will Go On (Love Theme From Titanic)
1997;Song Of The Year;Sunny Came Home
1996;Song Of The Year;Change The World
1995;Song Of The Year;Kiss From A Rose
1994;Song Of The Year;Streets Of Philadelphia
1993;Song Of The Year;A Whole New World (Aladdin's Theme)
1992;Song Of The Year;Tears In Heaven
1991;Song Of The Year;Unforgettable
1990;Song Of The Year;From A Distance
1989;Song Of The Year;Wind Beneath My Wings
1988;Song Of The Year;Don't Worry Be Happy
1987;Song Of The Year;Somewhere Out There
1986;Song Of The Year;That's What Friends Are For
1985;Song Of The Year;We Are The World
1984;Song Of The Year;What's Love Got To Do With It
1983;Song Of The Year;Every Breath You Take
1982;Song Of The Year;Always On My Mind
1981;Song Of The Year;Bette Davis Eyes
1980;Song Of The Year;Sailing
1979;Song Of The Year;What A Fool Believes
1978;Song Of The Year;Just The Way You Are
1977;Song Of The Year;Love Theme From A Star Is Born (Evergreen)
1977;Song Of The Year;You Light Up My Life
1976;Song Of The Year;I Write The Songs
1975;Song Of The Year;Send In The Clowns
1974;Song Of The Year;The Way We Were
1973;Song Of The Year;Killing Me Softly With His Song
1972;Song Of The Year;The First Time Ever I Saw Your Face
1971;Song Of The Year;You've Got A Friend
1970;Song Of The Year;Bridge Over Troubled Water
1969;Song Of The Year;Games People Play
1968;Song Of The Year;Little Green Apples
1967;Song Of The Year;Up, Up And Away
1966;Song Of The Year;Michelle
1965;Song Of The Year;"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")"
1964;Song Of The Year;Hello, Dolly!
1963;Song Of The Year;Days Of Wine And Roses
1962;Song Of The Year;What Kind Of Fool Am I
1961;Song Of The Year;Moon River
1960;Song Of The Year;Theme From Exodus
1959;Song Of The Year;The Battle Of New Orleans
1958;Song Of The Year;Nel Blu Dipinto Di Blu (Volare)
